chr	start	end	orang	gorilla	bonobo	chimp	human	macaca
chr1	1	25000000	24	8	8	14	8	11
chr1	25000001	50000000	0	1	3	3	1	6
chr1	50000001	75000000	3	2	2	3	2	4
chr1	75000001	100000000	10	13	12	11	12	3
chr1	100000001	125000000	3	3	2	3	3	1
chr1	125000001	150000000	0	4	1	20	13	0
chr1	150000001	175000000	2	2	2	4	2	5
chr1	175000001	200000000	3	2	4	3	3	3
chr1	200000001	225000000	4	4	3	3	4	3
chr1	225000001	250000000	11	9	9	14	8	12
chr2	1	25000000	3	5	2	5	4	6
chr2	25000001	50000000	1	3	2	2	3	3
chr2	50000001	75000000	5	4	2	4	4	6
chr2	75000001	100000000	8	9	5	26	16	7
chr2	100000001	125000000	19	15	7	13	15	10
chr2	125000001	150000000	50	27	30	40	27	9
chr2	150000001	175000000	3	3	2	3	3	3
chr2	175000001	200000000	4	3	2	4	3	10
chr2	200000001	225000000	19	17	20	23	17	14
chr2	225000001	250000000	7	6	8	6	21	6
chr3	1	25000000	3	2	3	4	2	1
chr3	25000001	50000000	4	3	2	5	5	5
chr3	50000001	75000000	4	6	5	7	5	7
chr3	75000001	100000000	6	4	5	6	9	5
chr3	100000001	125000000	17	4	9	10	9	3
chr3	125000001	150000000	2	1	5	2	2	6
chr3	150000001	175000000	14	12	13	13	12	10
chr3	175000001	200000000	5	5	6	5	5	6
chr4	1	25000000	3	3	3	4	4	2
chr4	25000001	50000000	9	7	5	5	10	7
chr4	50000001	75000000	9	6	8	10	8	8
chr4	75000001	100000000	4	5	7	6	7	10
chr4	100000001	125000000	9	2	5	2	6	6
chr4	125000001	150000000	1	1	1	1	1	2
chr4	150000001	175000000	12	4	5	6	4	10
chr4	175000001	200000000	4	3	3	4	3	4
chr5	1	25000000	11	5	8	10	7	6
chr5	25000001	50000000	2	0	1	2	1	4
chr5	50000001	75000000	1	1	2	1	3	3
chr5	75000001	100000000	50	15	10	20	9	15
chr5	100000001	125000000	4	10	12	8	6	3
chr5	125000001	150000000	4	3	4	14	2	9
chr5	150000001	175000000	3	2	2	3	4	5
chr5	175000001	200000000	0	0	0	1	0	0
chr6	1	25000000	3	2	9	2	3	8
chr6	25000001	50000000	4	5	4	2	3	1
chr6	50000001	75000000	2	3	2	5	3	2
chr6	75000001	100000000	5	7	10	9	8	6
chr6	100000001	125000000	1	1	1	1	1	2
chr6	125000001	150000000	6	6	12	5	8	9
chr6	150000001	175000000	6	5	7	7	6	4
chr7	1	25000000	2	3	2	3	3	3
chr7	25000001	50000000	3	2	6	4	4	5
chr7	50000001	75000000	32	18	12	22	20	6
chr7	75000001	100000000	0	0	8	0	0	0
chr7	100000001	125000000	7	6	13	6	7	9
chr7	125000001	150000000	8	7	7	10	10	7
chr7	150000001	175000000	3	1	1	2	3	4
chr8	1	25000000	3	6	7	5	5	2
chr8	25000001	50000000	24	16	13	19	19	16
chr8	50000001	75000000	7	5	7	9	8	1
chr8	75000001	100000000	4	4	6	4	4	5
chr8	100000001	125000000	15	9	9	10	12	6
chr8	125000001	150000000	5	5	4	4	3	8
chr9	1	25000000	9	7	15	8	6	10
chr9	25000001	50000000	6	4	6	5	6	8
chr9	50000001	75000000	0	1	0	4	4	1
chr9	75000001	100000000	12	10	9	12	13	10
chr9	100000001	125000000	4	5	5	6	4	6
chr9	125000001	150000000	2	3	2	3	2	5
chr10	1	25000000	8	5	7	7	6	5
chr10	25000001	50000000	16	11	9	12	13	8
chr10	50000001	75000000	10	7	8	8	7	4
chr10	75000001	100000000	6	6	6	7	5	10
chr10	100000001	125000000	1	3	4	3	3	6
chr10	125000001	150000000	3	2	1	1	2	2
chr11	1	25000000	5	6	4	4	3	7
chr11	25000001	50000000	5	5	5	6	6	8
chr11	50000001	75000000	2	3	3	4	4	3
chr11	75000001	100000000	12	5	6	15	8	3
chr11	100000001	125000000	9	6	6	7	6	6
chr11	125000001	150000000	3	5	3	3	3	2
chr12	1	25000000	4	3	8	6	7	5
chr12	25000001	50000000	7	9	8	7	8	5
chr12	50000001	75000000	1	3	4	1	2	2
chr12	75000001	100000000	0	0	0	0	0	4
chr12	100000001	125000000	1	1	2	4	2	4
chr12	125000001	150000000	2	2	3	2	23	3
chr13	1	25000000	2	7	5	2	3	1
chr13	25000001	50000000	4	3	3	3	4	7
chr13	50000001	75000000	7	3	4	5	5	13
chr13	75000001	100000000	11	7	8	10	8	12
chr13	100000001	125000000	1	0	1	2	1	5
chr14	1	25000000	1	1	1	1	1	1
chr14	25000001	50000000	0	0	2	0	1	3
