chr	start	end	orang	gorilla	bonobo	chimp	human	macaca
chr1	1	25000000	0	0	1	1	1	2
chr1	25000001	50000000	0	0	0	0	1	0
chr1	50000001	75000000	0	0	1	0	4	0
chr1	75000001	100000000	0	1	0	1	1	0
chr1	100000001	125000000	0	2	2	3	0	1
chr1	125000001	150000000	0	0	0	0	0	0
chr1	150000001	175000000	0	0	0	2	2	1
chr1	175000001	200000000	1	0	0	0	1	0
chr1	200000001	225000000	0	0	1	0	0	0
chr1	225000001	250000000	0	0	0	0	0	0
chr2	1	25000000	0	0	0	0	1	1
chr2	25000001	50000000	0	1	2	3	1	0
chr2	50000001	75000000	1	0	0	2	1	0
chr2	75000001	100000000	1	0	1	2	2	1
chr2	100000001	125000000	1	0	2	2	0	0
chr2	125000001	150000000	0	0	1	2	0	0
chr2	150000001	175000000	0	1	0	1	1	0
chr2	175000001	200000000	0	0	2	1	0	0
chr2	200000001	225000000	0	0	2	2	4	0
chr2	225000001	250000000	0	0	0	2	1	0
chr3	1	25000000	0	0	0	3	0	1
chr3	25000001	50000000	0	1	1	2	0	0
chr3	50000001	75000000	2	2	0	2	0	0
chr3	75000001	100000000	0	1	1	1	0	0
chr3	100000001	125000000	0	0	1	5	0	0
chr3	125000001	150000000	0	0	0	1	0	0
chr3	150000001	175000000	0	0	2	1	1	1
chr3	175000001	200000000	1	1	1	3	2	0
chr4	1	25000000	1	0	1	3	4	0
chr4	25000001	50000000	0	0	1	3	1	0
chr4	50000001	75000000	0	0	2	1	1	0
chr4	75000001	100000000	0	0	0	2	1	1
chr4	100000001	125000000	0	1	0	2	3	1
chr4	125000001	150000000	0	1	0	1	1	1
chr4	150000001	175000000	3	0	0	3	2	0
chr4	175000001	200000000	0	0	0	1	0	0
chr5	1	25000000	0	0	0	0	1	1
chr5	25000001	50000000	0	0	0	0	1	2
chr5	50000001	75000000	0	0	0	3	0	0
chr5	75000001	100000000	0	7	6	2	0	0
chr5	100000001	125000000	1	2	0	3	0	0
chr5	125000001	150000000	0	1	1	3	2	0
chr5	150000001	175000000	1	3	0	0	1	0
chr5	175000001	200000000	0	0	0	0	1	0
chr6	1	25000000	0	0	2	2	0	0
chr6	25000001	50000000	0	0	2	1	2	0
chr6	50000001	75000000	0	0	1	1	1	0
chr6	75000001	100000000	0	1	1	2	1	0
chr6	100000001	125000000	0	0	0	3	1	1
chr6	125000001	150000000	0	0	1	2	3	0
chr6	150000001	175000000	1	0	0	3	1	0
chr7	1	25000000	1	2	1	1	0	0
chr7	25000001	50000000	1	1	3	2	1	1
chr7	50000001	75000000	0	0	0	0	1	0
chr7	75000001	100000000	1	0	0	1	1	0
chr7	100000001	125000000	0	0	1	0	0	1
chr7	125000001	150000000	0	1	1	3	2	1
chr7	150000001	175000000	0	0	0	1	0	0
chr8	1	25000000	0	1	1	1	0	0
chr8	25000001	50000000	0	1	0	1	1	1
chr8	50000001	75000000	0	0	0	2	2	1
chr8	75000001	100000000	0	0	2	0	3	0
chr8	100000001	125000000	2	0	1	2	3	0
chr8	125000001	150000000	0	0	1	0	1	0
chr9	1	25000000	0	1	1	1	1	0
chr9	25000001	50000000	0	1	0	1	2	0
chr9	50000001	75000000	0	0	0	1	0	0
chr9	75000001	100000000	0	0	0	4	1	0
chr9	100000001	125000000	0	1	0	2	1	0
chr9	125000001	150000000	0	0	0	1	0	0
chr10	1	25000000	1	0	4	4	1	1
chr10	25000001	50000000	0	0	0	1	1	1
chr10	50000001	75000000	0	1	1	1	0	0
chr10	75000001	100000000	0	0	0	1	3	1
chr10	100000001	125000000	0	3	1	0	0	1
chr10	125000001	150000000	0	0	0	1	1	0
chr11	1	25000000	0	1	0	2	4	1
chr11	25000001	50000000	1	2	0	2	1	1
chr11	50000001	75000000	0	0	0	1	2	0
chr11	75000001	100000000	1	0	2	1	0	0
chr11	100000001	125000000	0	0	1	1	3	1
chr11	125000001	150000000	0	0	0	2	0	0
chr12	1	25000000	0	0	3	1	1	0
chr12	25000001	50000000	0	0	2	2	0	1
chr12	50000001	75000000	1	0	2	0	3	0
chr12	75000001	100000000	0	0	1	2	3	0
chr12	100000001	125000000	1	0	1	0	1	0
chr12	125000001	150000000	0	0	1	0	0	0
chr13	1	25000000	1	0	0	0	0	0
chr13	25000001	50000000	0	0	0	1	4	0
chr13	50000001	75000000	0	0	1	0	1	1
chr13	75000001	100000000	1	1	0	5	1	1
chr13	100000001	125000000	1	1	0	0	0	1
chr14	1	25000000	0	0	1	0	0	0
chr14	25000001	50000000	1	0	0	2	0	0
chr14	50000001	75000000	0	0	1	2	1	0
chr14	75000001	100000000	1	1	1	0	1	2
chr14	100000001	125000000	0	0	1	2	0	0
chr15	1	25000000	0	1	0	0	0	0
chr15	25000001	50000000	1	0	1	0	1	0
chr15	50000001	75000000	1	0	0	2	0	1
chr15	75000001	100000000	1	0	0	2	2	1
chr15	100000001	125000000	0	0	0	0	0	0
chr16	1	25000000	0	0	1	3	0	0
chr16	25000001	50000000	0	0	0	1	0	0
chr16	50000001	75000000	0	0	0	1	2	0
chr16	75000001	100000000	1	1	0	2	1	0
chr17	1	25000000	0	0	1	1	1	4
chr17	25000001	50000000	0	1	1	0	1	1
